IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,cdn.cloudfront-js.com,,Block,High,PCPJack C2 Domain,PCPJack check.sh C2 and credential exfiltration domain typosquatting CloudFront. Used to receive stolen credentials over ports 443/8443.,Block outbound traffic. Hunt for /var/tmp/apt-daily-upgrade and /tmp/.origin on Linux hosts. Review lateral SSH connections.,,,T1071.001,TRUE
DomainName,lastpass-login-help.com,,Block,High,PCPJack Phishing Domain,Phishing domain hosted on PCPJack infrastructure IP 38.242.245.147. Designed to harvest LastPass master credentials.,Block outbound traffic. Alert on any DNS queries to this domain. Investigate source hosts for PCPJack infection.,,,T1566,TRUE
DomainName,spm-cdn-assets-dist-2026.s3.us-east-2.amazonaws.com,,Block,High,PCPJack Payload Staging S3 Bucket,Attacker-registered AWS S3 bucket used as PAYLOAD_HOST in bootstrap.sh to deliver all 6 PCPJack Python modules.,Block outbound traffic to this S3 subdomain. Review download history. Hunt for /var/lib/.spm/ working directory on Linux hosts.,,,T1105,TRUE
IpAddress,38.242.204.245,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,38.242.237.196,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,38.242.245.147,,Block,High,PCPJack Infrastructure IP - Hosts Phishing Domain,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Also hosts lastpass-login-help.com phishing domain. Geolocated to Germany (VPS).,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,83.171.249.231,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,161.97.129.25,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,161.97.135.154,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,161.97.163.87,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
